project_name,old_version,new_version,commits,contributors,issues,prs,stars,comments,releases
WerWolv/ImHex,v1.35.3,v1.35.4,5169,144,1274,693,47126,4818,76
janhq/jan,v0.5.1,v0.5.2,4412,62,2181,2141,27613,6855,73
rustdesk/rustdesk,1.2.7,1.3.0,10271,299,3296,3859,82358,16113,27
GyulyVGC/sniffnet,v1.3.0,v1.3.1,1978,51,222,453,22011,1806,13
Stirling-Tools/Stirling-PDF,v0.27.0,v0.28.0,3205,212,1098,1730,51041,5340,112
marticliment/UniGetUI,3.1.1-beta3,3.1.1,6053,71,1896,1224,14503,7682,79
zulip/zulip,9.0,9.1,63163,393,9535,23927,22205,30000,107
akfamily/akshare,release-v1.14.61,release-v1.14.62,8823,78,1773,3895,10388,2892,2121
bentoml/bentoml,v1.3.1,v1.3.2,3469,210,1096,3852,7383,8283,156
toss/es-toolkit,v1.15.1,v1.16.0,975,129,281,683,7709,2098,49
google/flatbuffers,v24.3.7,v24.3.25,3190,432,2446,2624,23779,21683,42
sisong/HDiffPatch,v4.7.0,v4.8.0,955,8,286,108,1638,867,14
langchain-ai/langchain,langchain-openai==0.1.21,langchain-openai==0.1.22,12689,481,8201,16859,100861,30000,803
twpayne/chezmoi,v2.52.0,v2.52.1,5038,176,1500,2384,14144,7548,219
continuedev/continue,v0.8.43-vscode,v0.8.45-vscode,10390,275,2328,1882,23453,10006,232
fullstorydev/grpcurl,v1.8.9,v1.9.0,215,56,250,257,11257,1040,26
Col-E/Recaf,2.21.13,2.21.14 ,4667,41,637,262,6235,2314,169
stakater/Reloader,v1.0.120,v1.0.121,1325,131,326,516,8067,3882,250
beekeeper-studio/beekeeper-studio,v4.6.0,v4.6.2,5794,106,1815,869,17446,6257,93
bevyengine/bevy,v0.14.0,v0.14.1,8322,431,6323,9921,38000,30000,35
manticoresoftware/manticoresearch,6.3.2,6.3.4,11917,51,1994,861,9625,11271,46
questdb/questdb,8.0.3,8.1.0,5110,149,1932,3332,14898,9217,84
getumbrel/umbrel, 1.2.0-beta.2,1.2.0,2760,59,963,892,8386,4461,83
